month,word,frequency
2019-01,koronavirus,0
2019-02,koronavirus,0
2019-03,koronavirus,0
2019-04,koronavirus,0
2019-05,koronavirus,0
2019-06,koronavirus,0
2019-07,koronavirus,0
2019-08,koronavirus,0
2019-09,koronavirus,0
2019-10,koronavirus,0
2019-11,koronavirus,0
2019-12,koronavirus,0
2020-01,koronavirus,62
2020-02,koronavirus,147
2020-03,koronavirus,477
2020-04,koronavirus,153
2020-05,koronavirus,111
2020-06,koronavirus,48
2020-07,koronavirus,46
2020-08,koronavirus,44
2020-09,koronavirus,43
2020-10,koronavirus,41
2020-11,koronavirus,43
2020-12,koronavirus,45
2021-01,koronavirus,38
2021-02,koronavirus,28
2021-03,koronavirus,31
2021-04,koronavirus,16
2021-05,koronavirus,13
2021-06,koronavirus,14
2021-07,koronavirus,16
2021-08,koronavirus,5
2021-09,koronavirus,3
2021-10,koronavirus,7
2021-11,koronavirus,6
2021-12,koronavirus,19
2022-01,koronavirus,11
2022-02,koronavirus,10
2022-03,koronavirus,3
2022-04,koronavirus,2
2022-05,koronavirus,3
2022-06,koronavirus,1
2022-07,koronavirus,2
2022-08,koronavirus,2
2022-09,koronavirus,2
2022-10,koronavirus,5
2022-11,koronavirus,1
2022-12,koronavirus,3
2023-01,koronavirus,1
2023-02,koronavirus,0
2023-03,koronavirus,2
2023-04,koronavirus,1
2023-05,koronavirus,2
2023-06,koronavirus,0
2023-07,koronavirus,1
2023-08,koronavirus,3
2023-09,koronavirus,2
2023-10,koronavirus,0
2023-11,koronavirus,2
2023-12,koronavirus,1
2024-01,koronavirus,0
2024-02,koronavirus,0
2024-03,koronavirus,0
2024-04,koronavirus,1
2024-05,koronavirus,2
2024-06,koronavirus,0
2024-07,koronavirus,2
2024-08,koronavirus,2
2024-09,koronavirus,0
2024-10,koronavirus,3
2024-11,koronavirus,0
2024-12,koronavirus,0
2025-01,koronavirus,1
2025-02,koronavirus,3
2025-03,koronavirus,1
2025-04,koronavirus,2
2025-05,koronavirus,0
2025-06,koronavirus,0
2025-07,koronavirus,0
2025-08,koronavirus,2
2025-09,koronavirus,0
2025-10,koronavirus,0
2025-11,koronavirus,0
2025-12,koronavirus,0
2019-01,trump,68
2019-02,trump,117
2019-03,trump,86
2019-04,trump,42
2019-05,trump,62
2019-06,trump,73
2019-07,trump,69
2019-08,trump,45
2019-09,trump,61
2019-10,trump,93
2019-11,trump,55
